MPIO_NCDGO;MPIO_CNMBR;VGV_NVALOR
47745;Sitionuevo;0
47798;Tenerife;0
47960;Zapayán;0
47980;Zona Bananera;0
50001;Villavicencio;0
50006;Acacías;0
50110;Barranca de Upía;0
50124;Cabuyaro;0
50150;Castilla la Nueva;0
50223;Cubarral;0
50226;Cumaral;0
50245;El Calvario;0
50251;El Castillo;0
50270;El Dorado;0
50287;Fuente de Oro;0
50313;Granada;0
50318;Guamal;0
50325;Mapiripán;0
50330;Mesetas;0
50350;La Macarena;0
50370;Uribe;0
50400;Lejanías;0
50450;Puerto Concordia;0
50568;Puerto Gaitán;0
50573;Puerto López;0
50577;Puerto Lleras;0
50590;Puerto Rico;0
50606;Restrepo;0
50680;San Carlos de Guaroa;0
50683;San Juan de Arama;0
50686;San Juanito;0
50689;San Martín;0
50711;Vistahermosa;0
52001;Pasto;0
52019;Albán;0
52022;Aldana;0
52036;Ancuya;0
52051;Arboleda;0
52079;Barbacoas;0
52083;Belén;0
52110;Buesaco;0
52203;Colón;0
52207;Consacá;0
52210;Contadero;0
52215;Córdoba;0
52224;Cuaspud Carlosama;0
52227;Cumbal;0
52233;Cumbitara;0
52240;Chachagüí;0
52250;El Charco;0
52254;El Peñol;0
52256;El Rosario;0
52258;El Tablón de Gómez;0
52260;El Tambo;0
52287;Funes;0
52317;Guachucal;0
52320;Guaitarilla;0
52323;Gualmatán;0
52352;Iles;0
52354;Imués;0
52356;Ipiales;0
52378;La Cruz;0
52381;La Florida;0
52385;La Llanada;0
52390;La Tola;0
52399;La Unión;0
52405;Leiva;0
52411;Linares;0
52418;Los Andes;0
52427;Magüí;0
52435;Mallama;0
52473;Mosquera;0
52480;Nariño;0
52490;Olaya Herrera;0
52506;Ospina;0
52520;Francisco Pizarro;0
52540;Policarpa;0
52560;Potosí;0
52565;Providencia;0
52573;Puerres;0
52585;Pupiales;0
52612;Ricaurte;0
52621;Roberto Payán;0
52678;Samaniego;0
52683;Sandoná;0
52685;San Bernardo;0
52687;San Lorenzo;0
52693;San Pablo;0
52694;San Pedro de Cartago;0
52696;Santa Bárbara;0
52699;Santacruz;0
52720;Sapuyes;0
52786;Taminango;0
52788;Tangua;0
52835;San Andrés de Tumaco;0
52838;Túquerres;0
52885;Yacuanquer;0
54001;San José de Cúcuta;0
54003;Ábrego;0
54051;Arboledas;0
54099;Bochalema;0
54109;Bucarasica;0
54125;Cácota;0
54128;Cáchira;0
54172;Chinácota;0
54174;Chitagá;0
54206;Convención;0
54223;Cucutilla;0
54239;Durania;0
54245;El Carmen;0
54250;El Tarra;0
54261;El Zulia;0
54313;Gramalote;0
54344;Hacarí;0
54347;Herrán;0
54377;Labateca;0
54385;La Esperanza;0
54398;La Playa;0
54405;Los Patios;0
54418;Lourdes;0
54480;Mutiscua;0
54498;Ocaña;0
54518;Pamplona;0
54520;Pamplonita;0
54553;Puerto Santander;0
54599;Ragonvalia;0
54660;Salazar;0
54670;San Calixto;0
54673;San Cayetano;0
54680;Santiago;0
54720;Sardinata;0
54743;Silos;0
54800;Teorama;0
54810;Tibú;0
54820;Toledo;0
54871;Villa Caro;0
54874;Villa del Rosario;0
63001;Armenia;0
63111;Buenavista;0
63130;Calarcá;0
63190;Circasia;0
63212;Córdoba;0
63272;Filandia;0
63302;Génova;0
63401;La Tebaida;0
63470;Montenegro;0
63548;Pijao;0
63594;Quimbaya;0
63690;Salento;0
66001;Pereira;0
66045;Apía;0
66075;Balboa;0
66088;Belén de Umbría;0
66170;Dosquebradas;0
66318;Guática;0
66383;La Celia;0
66400;La Virginia;0
66440;Marsella;0
66456;Mistrató;0
66572;Pueblo Rico;0
66594;Quinchía;0
66682;Santa Rosa de Cabal;0
66687;Santuario;0
68001;Bucaramanga;0
68013;Aguada;0
68020;Albania;0
68051;Aratoca;0
68077;Barbosa;0
68079;Barichara;0
68081;Barrancabermeja;0
68092;Betulia;0
68101;Bolívar;0
68121;Cabrera;0
68132;California;0
68147;Capitanejo;0
68152;Carcasí;0
68160;Cepitá;0
68162;Cerrito;0
68167;Charalá;0
68169;Charta;0
68176;Chima;0
68179;Chipatá;0
68190;Cimitarra;0
68207;Concepción;0
68209;Confines;0
68211;Contratación;0
68217;Coromoro;0
68229;Curití;0
68235;El Carmen de Chucuri;0
68245;El Guacamayo;0
68250;El Peñón;0
68255;El Playón;0
68264;Encino;0
68266;Enciso;0
68271;Florián;0
68276;Floridablanca;0
68296;Galán;0
68298;Gámbita;0
68307;Girón;0
68318;Guaca;0
68320;Guadalupe;0
68322;Guapotá;0
68324;Guavatá;0
68327;Güepsa;0
68344;Hato;0
68368;Jesús María;0
68370;Jordán;0
68377;La Belleza;0
68385;Landázuri;0
68397;La Paz;0
68406;Lebrija;0
68418;Los Santos;0
68425;Macaravita;0
68432;Málaga;0
68444;Matanza;0
68464;Mogotes;0
68468;Molagavita;0
68498;Ocamonte;0
68500;Oiba;0
68502;Onzaga;0
68522;Palmar;0
68524;Palmas del Socorro;0
68533;Páramo;0
68547;Piedecuesta;0
68549;Pinchote;0
68572;Puente Nacional;0
68573;Puerto Parra;0
68575;Puerto Wilches;0
68615;Rionegro;0
68655;Sabana de Torres;0
68669;San Andrés;0
68673;San Benito;0
68679;San Gil;0
68682;San Joaquín;0
68684;San José de Miranda;0
68686;San Miguel;0
68689;San Vicente de Chucurí;0
68705;Santa Bárbara;0
68720;Santa Helena del Opón;0
68745;Simacota;0
68755;Socorro;0
68770;Suaita;0
68773;Sucre;0
68780;Suratá;0
68820;Tona;0
68855;Valle de San José;0
68861;Vélez;0
68867;Vetas;0
68872;Villanueva;0
68895;Zapatoca;0
70001;Sincelejo;0
70110;Buenavista;0
70124;Caimito;0
70204;Colosó;0
70215;Corozal;0
70221;Coveñas;0
70230;Chalán;0
70233;El Roble;0
70235;Galeras;0
70265;Guaranda;0
70400;La Unión;0
70418;Los Palmitos;0
70429;Majagual;0
70473;Morroa;0
70508;Ovejas;0
70523;Palmito;0
70670;Sampués;0
70678;San Benito Abad;0
70702;San Juan de Betulia;0
70708;San Marcos;0
70713;San Onofre;0
70717;San Pedro;0
70742;San Luis de Sincé;0
70771;Sucre;0
70820;Santiago de Tolú;0
70823;San José de Toluviejo;0
73001;Ibagué;0
73024;Alpujarra;0
73026;Alvarado;0
73030;Ambalema;0
73043;Anzoátegui;0
73055;Armero;0
73067;Ataco;0
73124;Cajamarca;0
73148;Carmen de Apicalá;0
73152;Casabianca;0
73168;Chaparral;0
73200;Coello;0
73217;Coyaima;0
73226;Cunday;0
73236;Dolores;0
73268;Espinal;0
73270;Falan;0
73275;Flandes;0
73283;Fresno;0
73319;Guamo;0
73347;Herveo;0
73349;Honda;0
73352;Icononzo;0
73408;Lérida;0
73411;Líbano;0
73443;San Sebastián de Mariquita;0
73449;Melgar;0
73461;Murillo;0
73483;Natagaima;0
73504;Ortega;0
73520;Palocabildo;0
73547;Piedras;0
73555;Planadas;0
73563;Prado;0
73585;Purificación;0
73616;Rioblanco;0
73622;Roncesvalles;0
73624;Rovira;0
73671;Saldaña;0
73675;San Antonio;0
73678;San Luis;0
73686;Santa Isabel;0
73770;Suárez;0
73854;Valle de San Juan;0
73861;Venadillo;0
73870;Villahermosa;0
73873;Villarrica;0
76001;Cali;0
76020;Alcalá;0
76036;Andalucía;0
76041;Ansermanuevo;0
76054;Argelia;0
76100;Bolívar;0
76109;Buenaventura;0
76111;Guadalajara de Buga;0
76113;Bugalagrande;0
76122;Caicedonia;0
76126;Calima;0
76130;Candelaria;0
76147;Cartago;0
76233;Dagua;0
76243;El Águila;0
76246;El Cairo;0
76248;El Cerrito;0
76250;El Dovio;0
76275;Florida;0
76306;Ginebra;0
76318;Guacarí;0
76364;Jamundí;0
76377;La Cumbre;0
76400;La Unión;0
76403;La Victoria;0
76497;Obando;0
76520;Palmira;0
76563;Pradera;0
76606;Restrepo;0
76616;Riofrío;0
76622;Roldanillo;0
76670;San Pedro;0
76736;Sevilla;0
76823;Toro;0
76828;Trujillo;0
76834;Tuluá;0
76845;Ulloa;0
76863;Versalles;0
76869;Vijes;0
76890;Yotoco;0
76892;Yumbo;0
76895;Zarzal;0
81001;Arauca;0
81065;Arauquita;0
81220;Cravo Norte;0
81300;Fortul;0
81591;Puerto Rondón;0
81736;Saravena;0
81794;Tame;0
85001;Yopal;0
85010;Aguazul;0
85015;Chámeza;0
85125;Hato Corozal;0
85136;La Salina;0
85139;Maní;0
85162;Monterrey;0
85225;Nunchía;0
85230;Orocué;0
85250;Paz de Ariporo;0
85263;Pore;0
85279;Recetor;0
85300;Sabanalarga;0
85315;Sácama;0
85325;San Luis de Palenque;0
85400;Támara;0
85410;Tauramena;0
85430;Trinidad;0
85440;Villanueva;0
86001;Mocoa;0
86219;Colón;0
86320;Orito;0
86568;Puerto Asís;0
86569;Puerto Caicedo;0
86571;Puerto Guzmán;0
86573;Puerto Leguízamo;0
86749;Sibundoy;0
86755;San Francisco;0
86757;San Miguel;0
86760;Santiago;0
86865;Valle del Guamuez;0
86885;Villagarzón;0
88001;San Andrés;0
88564;Providencia;0
91001;Leticia;0
91263;El Encanto;0
91405;La Chorrera;0
91407;La Pedrera;0
91430;La Victoria;0
91460;Mirití - Paraná;0
91530;Puerto Alegría;0
91536;Puerto Arica;0
91540;Puerto Nariño;0
91669;Puerto Santander;0
91798;Tarapacá;0
94001;Inírida;0
94343;Barrancominas;0
94663;Mapiripana;0
94883;San Felipe;0
94884;Puerto Colombia;0
94885;La Guadalupe;0
94886;Cacahual;0
94887;Pana Pana;0
94888;Morichal;0
95001;San José del Guaviare;0
95015;Calamar;0
95025;El Retorno;0
95200;Miraflores;0
97001;Mitú;0
97161;Carurú;0
97511;Pacoa;0
97666;Taraira;0
97777;Papunahua;0
97889;Yavaraté;0
99001;Puerto Carreño;0
99524;La Primavera;0
99624;Santa Rosalía;0
99773;Cumaribo;0
